snapshot_date	classification_observed_date	trading_line_id	security_id	ticker	display_name	reference_mic	reference_market	active	official_issue_type	official_issue_type_code	status	failure_stage	error_type	error_message	attempts	provider	provider_mic	adjustment_basis	first_session_date	as_of_date	available_sessions	latest_close	latest_vwap	latest_shares	latest_trades	latest_turnover	momentum_1m	momentum_3m	momentum_6m	volatility_60d_annualized	current_drawdown_252d	max_drawdown_252d	median_shares_20d	median_trades_20d	median_turnover_20d	median_vwap_20d	has_1m	has_3m	has_6m	has_volatility_60d	has_drawdown_252d	has_liquidity_20d	completed_at_utc
2026-09-13	2026-09-14	IT0000060886-MTAA	IT0000060886	FNM	FNM	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1269.0	0.4515	0.4498	69334.0	30.0	31186.771	-0.0373134328358207	-0.0494736842105262	-0.0474683544303796	0.1207088187219916	-0.1607806691449814	-0.1635687732342008	103817.5	42.5	47292.555	0.4552715	True	True	True	True	True	True	2026-09-14T22:58:55.498370+00:00
2026-09-13	2026-09-14	IT0000062072-MTAA	IT0000062072	G	GENERALI	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	45.21	45.2897	3374669.0	4604.0	152837605.705	0.0261007716749885	0.063514467184192	0.305892547660312	0.1328903300203994	0.0	-0.0936639118457299	1707732.5	3638.5	75664725.08500001	44.1958025	True	True	True	True	True	True	2026-09-14T22:58:56.034674+00:00
2026-09-13	2026-09-14	IT0000062957-MTAA	IT0000062957	MB	MEDIOBANCA	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	27.97	28.2505	391824.0	1127.0	11069229.14	-0.0321799307958476	0.0639026245720806	0.7497654050672506	0.1841279831060943	-0.0348516218081436	-0.2844186046511627	310296.5	1041.0	8756350.17	28.073215500000003	True	True	True	True	True	True	2026-09-14T22:58:56.753810+00:00
2026-09-13	2026-09-14	IT0000066123-MTAA	IT0000066123	BPE	BPER BANCA	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	14.428	14.3497	6536807.0	6348.0	93800930.431	0.001388117712382	0.0483941287603546	0.3086621315192743	0.1857809292506821	-0.0273695564244302	-0.1808219178082192	4366146.5	4668.0	61984738.98	14.216294	True	True	True	True	True	True	2026-09-14T22:58:57.205967+00:00
2026-09-13	2026-09-14	IT0000066180-MTAA	IT0000066180	BRI	BRIOSCHI	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1245.0	0.0648	0.0635	203497.0	20.0	12912.5154	-0.0181818181818183	-0.058139534883721	-0.058139534883721	0.3361878681472697	-0.1755725190839695	-0.2290076335877863	97876.5	9.5	6354.139999999999	0.065108	True	True	True	True	True	True	2026-09-14T22:58:57.719257+00:00
2026-09-13	2026-09-14	IT0000070786-MTAA	IT0000070786	CIR	CIR	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	0.756	0.7545	350009.0	117.0	264082.778	0.0603085553997195	0.0753911806543385	0.1454545454545455	0.2951702976840399	-0.0430379746835443	-0.1162162162162161	331283.5	188.5	239171.265	0.7322919999999999	True	True	True	True	True	True	2026-09-14T22:58:58.242039+00:00
2026-09-13	2026-09-14	IT0000072170-MTAA	IT0000072170	FBK	FINECOBANK	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	22.74	22.8105	1467149.0	2717.0	33466443.715	-0.0556478405315614	-0.0100130605137135	0.2050874403815579	0.1970514631234657	-0.0793522267206477	-0.2016199649737303	1113613.5	2236.5	25938211.245	23.5024295	True	True	True	True	True	True	2026-09-14T22:58:58.989409+00:00
2026-09-13	2026-09-14	IT0000072618-MTAA	IT0000072618	ISP	INTESA SANPAOLO	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	6.711	6.7218	43037761.0	13246.0	289290709.7115	-0.0297816972676014	0.0983633387888707	0.2978147360278476	0.1828712881919682	-0.0297816972676014	-0.1896214099216709	35924601.5	11056.5	244706004.395	6.7789125	True	True	True	True	True	True	2026-09-14T22:58:59.453929+00:00
2026-09-13	2026-09-14	IT0000076486-MTAA	IT0000076486	DANR	DANIELI & C RISP NC	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	37.22	37.2105	55688.0	574.0	2072177.16	-0.1423963133640553	-0.2786821705426356	-0.0823471400394477	0.3883104361249099	-0.2793804453049371	-0.2813165537270087	60946.0	637.5	2550681.325	42.476737	True	True	True	True	True	True	2026-09-14T22:58:59.919603+00:00
2026-09-13	2026-09-14	IT0000076502-MTAA	IT0000076502	DAN	DANIELI & C	MTAA	Euronext Milan	True	Common Stock	101	PASS				1	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2021-09-15	2026-09-14	1270.0	54.8	54.9791	65823.0	942.0	3618891.6	-0.1549730146491904	-0.2798948751642575	-0.0335097001763669	0.3884221368767414	-0.2798948751642575	-0.2798948751642575	48197.0	781.5	2919057.7	63.394502	True	True	True	True	True	True	2026-09-14T22:59:00.391661+00:00
